,season,pday,count
354,1971,25,8
355,1971,26,8
356,1971,27,8
357,1971,28,8
358,1971,29,8
359,1971,30,8
360,1972,1,8
361,1972,2,8
362,1972,3,8
363,1972,4,8
364,1972,5,8
365,1972,6,8
366,1972,7,8
367,1972,8,8
368,1972,9,8
369,1972,10,8
370,1972,11,8
371,1972,12,8
372,1972,13,8
373,1972,14,8
374,1972,15,8
375,1972,16,8
376,1972,17,8
377,1972,18,8
378,1972,19,8
379,1972,20,8
380,1972,21,8
381,1972,22,8
382,1972,23,8
383,1972,24,8
384,1972,25,8
385,1972,26,8
386,1972,27,8
387,1972,28,8
388,1972,29,8
389,1972,30,8
390,1973,1,8
391,1973,2,8
392,1973,3,8
393,1973,4,8
394,1973,5,8
395,1973,6,8
396,1973,7,8
397,1973,8,8
398,1973,9,8
399,1973,10,8
400,1973,11,8
401,1973,12,8
402,1973,13,8
403,1973,14,8
404,1973,15,8
405,1973,16,8
406,1973,17,8
407,1973,18,8
408,1973,19,8
409,1973,20,8
410,1973,21,8
411,1973,22,8
412,1973,23,8
413,1973,24,8
414,1973,25,8
415,1973,26,8
416,1973,27,8
417,1973,28,8
418,1973,29,8
419,1973,30,8
420,1974,1,10
421,1974,2,10
422,1974,3,10
423,1974,4,10
424,1974,5,10
425,1974,6,10
426,1974,7,10
427,1974,8,10
428,1974,9,10
429,1974,10,10
430,1974,11,10
431,1974,12,10
432,1974,13,10
433,1974,14,10
434,1974,15,10
435,1974,16,10
436,1974,17,10
437,1974,18,10
438,1974,19,10
439,1974,20,10
440,1974,21,10
441,1974,22,10
442,1974,23,10
443,1974,24,10
444,1974,25,10
445,1974,26,10
446,1974,27,10
447,1974,28,10
448,1974,29,10
449,1974,30,10
450,1974,31,10
451,1974,32,10
452,1974,33,10
453,1974,34,10
454,1974,35,10
455,1974,36,10
456,1974,37,10
457,1974,38,10
458,1975,1,9
459,1975,2,9
460,1975,3,9
461,1975,4,9
462,1975,5,9
463,1975,6,9
464,1975,7,9
465,1975,8,9
466,1975,9,9
467,1975,10,9
468,1975,11,9
469,1975,12,9
470,1975,13,9
471,1975,14,9
472,1975,15,9
473,1975,16,9
474,1975,17,9
475,1975,18,9
476,1975,19,9
477,1975,20,9
478,1975,21,9
479,1975,22,9
480,1975,23,9
481,1975,24,9
482,1975,25,9
483,1975,26,9
484,1975,27,9
485,1975,28,9
486,1975,29,9
487,1975,30,9
